receive_time_ms,update_id,symbol,bid_price,bid_qty,ask_price,ask_qty
1787749101005,99196433192,BTCUSDT,78375.78000000,0.63266000,78375.79000000,1.63426000
1787749101005,99196433197,BTCUSDT,78375.78000000,0.63266000,78375.79000000,1.62788000
1787749101005,99196433199,BTCUSDT,78375.78000000,0.63259000,78375.79000000,1.62788000
1787749101005,99196433200,BTCUSDT,78375.78000000,0.63251000,78375.79000000,1.62788000
1787749101005,99196433202,BTCUSDT,78375.78000000,0.63251000,78375.79000000,1.62795000
1787749101005,99196433205,BTCUSDT,78375.78000000,0.63259000,78375.79000000,1.62795000
1787749101006,99196433213,BTCUSDT,78375.78000000,0.63266000,78375.79000000,1.62795000
1787749101006,99196433221,BTCUSDT,78375.78000000,0.63266000,78375.79000000,1.62808000
1787749101006,99196433222,BTCUSDT,78375.78000000,0.63266000,78375.79000000,1.63000000
1787749101006,99196433223,BTCUSDT,78375.78000000,0.61322000,78375.79000000,1.63000000
1787749101048,99196433237,BTCUSDT,78375.78000000,0.61315000,78375.79000000,1.63000000
1787749101048,99196433238,BTCUSDT,78375.78000000,0.61308000,78375.79000000,1.63000000
1787749101048,99196433239,BTCUSDT,78375.78000000,0.61315000,78375.79000000,1.63000000
1787749101164,99196433240,BTCUSDT,78375.78000000,0.61315000,78375.79000000,1.75055000
1787749101164,99196433243,BTCUSDT,78375.78000000,0.61315000,78375.79000000,1.75062000
1787749101164,99196433247,BTCUSDT,78375.78000000,0.61322000,78375.79000000,1.75062000
1787749101164,99196433254,BTCUSDT,78375.78000000,0.61483000,78375.79000000,1.75062000
1787749101164,99196433255,BTCUSDT,78375.78000000,0.60207000,78375.79000000,1.75062000
1787749101165,99196433256,BTCUSDT,78375.78000000,0.56687000,78375.79000000,1.75062000
1787749101165,99196433261,BTCUSDT,78375.78000000,0.56694000,78375.79000000,1.75062000
1787749101181,99196433269,BTCUSDT,78375.78000000,0.56694000,78375.79000000,1.75055000
1787749101181,99196433270,BTCUSDT,78375.78000000,0.56694000,78375.79000000,1.75048000
1787749101181,99196433271,BTCUSDT,78375.78000000,0.56694000,78375.79000000,1.75041000
1787749101181,99196433273,BTCUSDT,78375.78000000,0.56694000,78375.79000000,1.75034000
1787749101181,99196433275,BTCUSDT,78375.78000000,0.56694000,78375.79000000,1.75041000
