event_time_ms,receive_time_ms,transaction_time_ms,update_id,symbol,bid_price,bid_qty,ask_price,ask_qty
1787749353649,1787749353627,1787749353648,11394101381558,BTCUSDT,78339.60,4.159,78339.70,8.903
1787749353650,1787749353627,1787749353650,11394101381815,BTCUSDT,78339.60,4.593,78339.70,8.903
1787749353651,1787749353627,1787749353651,11394101381935,BTCUSDT,78339.60,4.593,78339.70,8.846
1787749353651,1787749353627,1787749353651,11394101381938,BTCUSDT,78339.60,4.593,78339.70,8.796
1787749353652,1787749353627,1787749353651,11394101381945,BTCUSDT,78339.60,4.679,78339.70,8.796
1787749353652,1787749353627,1787749353651,11394101381946,BTCUSDT,78339.60,4.679,78339.70,8.744
1787749353652,1787749353627,1787749353651,11394101381948,BTCUSDT,78339.60,4.679,78339.70,8.688
1787749353652,1787749353628,1787749353651,11394101381949,BTCUSDT,78339.60,4.931,78339.70,8.688
1787749353652,1787749353628,1787749353651,11394101381952,BTCUSDT,78339.60,4.932,78339.70,8.688
1787749353652,1787749353628,1787749353652,11394101381968,BTCUSDT,78339.60,5.440,78339.70,8.688
1787749353652,1787749353628,1787749353652,11394101381969,BTCUSDT,78339.60,5.440,78339.70,8.687
1787749353652,1787749353628,1787749353652,11394101381973,BTCUSDT,78339.60,5.440,78339.70,8.632
1787749353652,1787749353628,1787749353652,11394101381974,BTCUSDT,78339.60,5.501,78339.70,8.632
1787749353652,1787749353628,1787749353652,11394101381979,BTCUSDT,78339.60,5.501,78339.70,8.581
1787749353655,1787749353628,1787749353655,11394101382297,BTCUSDT,78339.60,5.501,78339.70,8.605
1787749353659,1787749353628,1787749353659,11394101382670,BTCUSDT,78339.60,5.501,78339.70,8.568
1787749353661,1787749353628,1787749353661,11394101382874,BTCUSDT,78339.60,4.801,78339.70,8.568
1787749353709,1787749353676,1787749353709,11394101387485,BTCUSDT,78339.60,4.801,78339.70,7.826
1787749353709,1787749353839,1787749353709,11394101387626,BTCUSDT,78339.60,4.801,78339.70,7.126
1787749353709,1787749353839,1787749353709,11394101387719,BTCUSDT,78339.60,4.801,78339.70,6.997
1787749353709,1787749353839,1787749353709,11394101387750,BTCUSDT,78339.60,4.801,78339.70,6.996
1787749353709,1787749353840,1787749353709,11394101387800,BTCUSDT,78339.60,4.801,78339.70,6.663
1787749353709,1787749353840,1787749353709,11394101387844,BTCUSDT,78339.60,4.801,78339.70,5.477
1787749353710,1787749353840,1787749353709,11394101388084,BTCUSDT,78339.60,4.801,78339.70,5.364
1787749353710,1787749353840,1787749353710,11394101388863,BTCUSDT,78339.60,5.107,78339.70,5.364
1787749353710,1787749353840,1787749353710,11394101388881,BTCUSDT,78339.60,5.464,78339.70,5.364
1787749353711,1787749353840,1787749353710,11394101388933,BTCUSDT,78339.60,5.464,78339.70,4.633
1787749353711,1787749353840,1787749353710,11394101388965,BTCUSDT,78339.60,5.515,78339.70,4.633
1787749353711,1787749353840,1787749353710,11394101388969,BTCUSDT,78339.60,5.832,78339.70,4.633
1787749353711,1787749353841,1787749353710,11394101388993,BTCUSDT,78339.60,5.864,78339.70,4.633
1787749353711,1787749353841,1787749353710,11394101389093,BTCUSDT,78339.60,6.210,78339.70,4.633
1787749353711,1787749353841,1787749353710,11394101389326,BTCUSDT,78339.70,0.041,78339.80,0.002
1787749353711,1787749353841,1787749353711,11394101389708,BTCUSDT,78341.40,1.159,78341.50,0.001
1787749353711,1787749353841,1787749353711,11394101389713,BTCUSDT,78341.40,1.464,78341.50,0.001
1787749353712,1787749353841,1787749353711,11394101390368,BTCUSDT,78341.40,1.514,78341.50,0.001
1787749353712,1787749353841,1787749353711,11394101390458,BTCUSDT,78341.40,1.871,78341.50,0.001
1787749353712,1787749353841,1787749353711,11394101390463,BTCUSDT,78341.40,1.919,78341.50,0.001
1787749353712,1787749353841,1787749353711,11394101390623,BTCUSDT,78341.40,2.215,78341.50,0.001
1787749353712,1787749353841,1787749353712,11394101391043,BTCUSDT,78341.40,2.262,78341.50,0.001
1787749353712,1787749353841,1787749353712,11394101391109,BTCUSDT,78341.40,2.613,78341.50,0.001
1787749353712,1787749353841,1787749353712,11394101391153,BTCUSDT,78341.40,2.942,78341.50,0.001
1787749353712,1787749353842,1787749353712,11394101391156,BTCUSDT,78341.40,3.284,78341.50,0.001
1787749353712,1787749353842,1787749353712,11394101391190,BTCUSDT,78341.40,3.332,78341.50,0.001
1787749353712,1787749353842,1787749353712,11394101391269,BTCUSDT,78341.40,3.378,78341.50,0.001
1787749353713,1787749353842,1787749353713,11394101392445,BTCUSDT,78341.40,3.478,78341.50,0.001
1787749353714,1787749353842,1787749353714,11394101393522,BTCUSDT,78341.40,3.525,78341.50,0.001
1787749353715,1787749353842,1787749353714,11394101393833,BTCUSDT,78341.40,3.611,78341.50,0.001
1787749353715,1787749353842,1787749353715,11394101394452,BTCUSDT,78341.40,3.511,78341.50,0.001
1787749353715,1787749353842,1787749353715,11394101394675,BTCUSDT,78341.40,3.528,78341.50,0.001
1787749353716,1787749353844,1787749353715,11394101394936,BTCUSDT,78341.40,3.772,78341.50,0.001
1787749353716,1787749353845,1787749353715,11394101394945,BTCUSDT,78341.40,3.898,78341.50,0.001
1787749353716,1787749353845,1787749353716,11394101395102,BTCUSDT,78341.40,4.024,78341.50,0.001
1787749353716,1787749353845,1787749353716,11394101395316,BTCUSDT,78341.40,4.071,78341.50,0.001
1787749353716,1787749353845,1787749353716,11394101395551,BTCUSDT,78341.40,4.072,78341.50,0.001
1787749353716,1787749353845,1787749353716,11394101395596,BTCUSDT,78341.40,4.089,78341.50,0.001
1787749353717,1787749353845,1787749353716,11394101395824,BTCUSDT,78341.40,4.304,78341.50,0.001
1787749353717,1787749353845,1787749353716,11394101395826,BTCUSDT,78341.40,4.596,78341.50,0.001
1787749353717,1787749353845,1787749353716,11394101395862,BTCUSDT,78341.40,4.618,78341.50,0.001
1787749353717,1787749353845,1787749353716,11394101395887,BTCUSDT,78341.40,4.744,78341.50,0.001
1787749353717,1787749353845,1787749353716,11394101395902,BTCUSDT,78341.40,4.830,78341.50,0.001
1787749353717,1787749353845,1787749353716,11394101395957,BTCUSDT,78341.40,4.956,78341.50,0.001
1787749353717,1787749353845,1787749353716,11394101395959,BTCUSDT,78341.40,4.978,78341.50,0.001
1787749353717,1787749353846,1787749353716,11394101395960,BTCUSDT,78341.40,5.193,78341.50,0.001
1787749353717,1787749353846,1787749353716,11394101395980,BTCUSDT,78341.40,5.339,78341.50,0.001
1787749353717,1787749353846,1787749353717,11394101396017,BTCUSDT,78341.40,5.485,78341.50,0.001
1787749353717,1787749353846,1787749353717,11394101396036,BTCUSDT,78341.40,5.535,78341.50,0.001
1787749353717,1787749353849,1787749353717,11394101396173,BTCUSDT,78341.40,5.565,78341.50,0.001
1787749353717,1787749353849,1787749353717,11394101396178,BTCUSDT,78341.40,5.711,78341.50,0.001
1787749353717,1787749353849,1787749353717,11394101396232,BTCUSDT,78341.40,6.211,78341.50,0.001
1787749353717,1787749353849,1787749353717,11394101396274,BTCUSDT,78341.40,6.466,78341.50,0.001
1787749353717,1787749353849,1787749353717,11394101396312,BTCUSDT,78341.40,6.823,78341.50,0.001
1787749353717,1787749353849,1787749353717,11394101396326,BTCUSDT,78341.40,6.949,78341.50,0.001
1787749353717,1787749353849,1787749353717,11394101396335,BTCUSDT,78341.40,6.971,78341.50,0.001
1787749353717,1787749353849,1787749353717,11394101396485,BTCUSDT,78341.40,7.077,78341.50,0.001
1787749353717,1787749353850,1787749353717,11394101396496,BTCUSDT,78341.40,7.335,78341.50,0.001
1787749353717,1787749353850,1787749353717,11394101396532,BTCUSDT,78341.40,7.843,78341.50,0.001
1787749353717,1787749353850,1787749353717,11394101396564,BTCUSDT,78341.40,7.865,78341.50,0.001
1787749353717,1787749353850,1787749353717,11394101396569,BTCUSDT,78341.40,8.011,78341.50,0.001
1787749353717,1787749353850,1787749353717,11394101396574,BTCUSDT,78341.40,8.137,78341.50,0.001
1787749353717,1787749353850,1787749353717,11394101396607,BTCUSDT,78341.40,8.159,78341.50,0.001
1787749353718,1787749353851,1787749353717,11394101396733,BTCUSDT,78341.40,8.181,78341.50,0.001
1787749353718,1787749353851,1787749353717,11394101396770,BTCUSDT,78341.40,8.211,78341.50,0.001
1787749353718,1787749353851,1787749353717,11394101396793,BTCUSDT,78341.40,8.357,78341.50,0.001
1787749353718,1787749353851,1787749353717,11394101396841,BTCUSDT,78341.40,8.503,78341.50,0.001
1787749353718,1787749353851,1787749353717,11394101396957,BTCUSDT,78341.40,8.755,78341.50,0.001
1787749353718,1787749353851,1787749353718,11394101396996,BTCUSDT,78341.40,8.777,78341.50,0.001
1787749353718,1787749353851,1787749353718,11394101397034,BTCUSDT,78341.40,8.799,78341.50,0.001
1787749353718,1787749353851,1787749353718,11394101397155,BTCUSDT,78341.40,8.925,78341.50,0.001
1787749353718,1787749353851,1787749353718,11394101397168,BTCUSDT,78341.40,8.955,78341.50,0.001
1787749353718,1787749353851,1787749353718,11394101397175,BTCUSDT,78341.40,8.985,78341.50,0.001
1787749353718,1787749353852,1787749353718,11394101397200,BTCUSDT,78341.40,9.238,78341.50,0.001
1787749353718,1787749353852,1787749353718,11394101397248,BTCUSDT,78341.40,9.491,78341.50,0.001
1787749353718,1787749353852,1787749353718,11394101397310,BTCUSDT,78341.40,9.617,78341.50,0.001
1787749353718,1787749353852,1787749353718,11394101397542,BTCUSDT,78341.40,9.919,78341.50,0.001
1787749353718,1787749353852,1787749353718,11394101397562,BTCUSDT,78341.40,10.170,78341.50,0.001
1787749353718,1787749353852,1787749353718,11394101397696,BTCUSDT,78341.40,10.912,78341.50,0.001
1787749353718,1787749353852,1787749353718,11394101397741,BTCUSDT,78341.40,11.234,78341.50,0.001
1787749353718,1787749353852,1787749353718,11394101397750,BTCUSDT,78341.40,11.284,78341.50,0.001
1787749353719,1787749353852,1787749353718,11394101397781,BTCUSDT,78341.40,11.538,78341.50,0.001
1787749353719,1787749353868,1787749353718,11394101397858,BTCUSDT,78341.40,11.568,78341.50,0.001
